x,y,ra_deg,dec_deg,radius_arcsec,distance_from_chaos_arcsec,pabeta_flux,pagamma_flux,pabeta_pagamma_ratio,valid_ratio,pabeta_flux_fraction,pagamma_flux_fraction,diagnostic_Av_for_intrinsic_ratio_2p0
58,50,-157.51775146489769,47.19595914344005,0.4472136021639595,0.456771817980888,43.32175229138113,14.045942306518555,3.0842894941463643,True,0.03230752518091876,0.021045387138566515,4.213744218762893
59,50,-157.51779234504826,47.19595914349094,0.36055513291908875,0.37123845275387146,29.242668784029586,10.213276863098145,2.863201416744809,True,0.02180794192586856,0.015302808515560573,3.4901962256503842
60,50,-157.51783322519884,47.195959143527304,0.28284271668930366,0.294949969544794,14.568269013292875,9.012016296386719,1.616538245623666,True,0.010864397054479186,0.013502929722878707,-2.0706186418460426
61,50,-157.51787410534942,47.19595914354911,0.22360680108197975,0.23700839824171882,8.314370637204789,4.711185932159424,1.7648147954529585,True,0.006200504931524357,0.0070588878738345445,-1.2169364867598609
62,50,-157.5179149855,47.195959143556394,0.2000000029802321,0.21295651611255095,8.413325853807745,4.975704193115234,1.6908814365309472,True,0.0062743015344567665,0.007455222209086076,-1.6332368572850253
63,50,-157.51795586565058,47.19595914354911,0.22360680108197975,0.23351225929009514,7.512134500160807,1.8175774812698364,4.133047739407792,True,0.005602231250804662,0.0027233218614255744,7.060951718251052
64,50,-157.51799674580116,47.195959143527304,0.28284271668930366,0.28931898199507877,6.395881243449043,0.776638925075531,8.23533438377045,True,0.004769776922620142,0.0011636575523672299,13.767341957446
65,50,-157.51803762595173,47.19595914349094,0.36055513291908875,0.36453116740950836,5.044895051110612,1.7400368452072144,2.8993035779709797,True,0.0037622687282498277,0.00260714078440725,3.6120848601604156
66,50,-157.5180785061023,47.19595914344005,0.4472136021639595,0.4495113694982522,4.5836548737319704,-0.6262262463569641,-7.319487007127415,False,0.0034182953694418886,-0.0009382904687567555,
59,51,-157.51779234498406,47.195986921269125,0.42426407503395547,0.4363500318818189,28.319837766385493,11.946110725402832,2.370632452465447,True,0.02111973369874657,0.017899156890286216,1.6537851358202575
60,51,-157.51783322515604,47.1959869213055,0.36055513291908875,0.37360252417266127,17.04634158105912,9.25088119506836,1.8426721975574087,True,0.012712438457439242,0.013860826982946236,-0.7969858721732708
61,51,-157.51787410532802,47.195986921327304,0.3162277707289986,0.3297822650883726,9.65953276056668,3.8150455951690674,2.5319573566298645,True,0.007203669782304841,0.005716178363081749,2.294210209528132
62,51,-157.5179149855,47.195986921334566,0.30000000447034814,0.31294382760078676,7.431128133359122,4.035628318786621,1.841380708616252,True,0.005541820138676567,0.006046682982373573,-0.8038061253127647
63,51,-157.51795586567198,47.195986921327304,0.3162277707289986,0.32727868364487545,6.638676241333197,4.763515472412109,1.393650609467121,True,0.004950843132850609,0.007137294534588794,-3.513808451615474
64,51,-157.51799674584396,47.1959869213055,0.36055513291908875,0.3691731773549621,4.712138643339112,1.0636688470840454,4.43008052389334,True,0.0035141131146245535,0.0015937216731787144,7.736073087536078
65,51,-157.51803762601594,47.195986921269125,0.42426407503395547,0.4306580238831512,4.291915006432554,1.5550076961517334,2.760060298771512,True,0.003200728151808151,0.002329906976321269,3.1333115580168416
60,52,-157.51783322511324,47.19601469908367,0.4472136021639595,0.4606106904201249,17.058834067788883,5.996469974517822,2.844812721531319,True,0.012721754824119875,0.008984661144446723,3.427519973378651
61,52,-157.51787410530662,47.196014699105504,0.41231056870567195,0.4258399986968179,13.406062563707755,6.708556652069092,1.998352739493223,True,0.009997672784351552,0.010051598447636924,-0.008015245860430389
62,52,-157.5179149855,47.196014699112766,0.4000000059604642,0.4129372850361266,6.8872541405328,5.101675987243652,1.3499983452014295,True,0.005136221985575566,0.007643968903193028,-3.823372505182289
63,52,-157.51795586569338,47.196014699105504,0.41231056870567195,0.42390411520938953,5.291105064778093,2.075413465499878,2.5494221526136687,True,0.003945881712388953,0.0031096439741012255,2.361078348749813
64,52,-157.51799674588676,47.19601469908367,0.4472136021639595,0.45702537888114936,3.2108438837215436,4.777812480926514,0.6720322106695357,True,0.0023945111667602317,0.0071587161005145904,-10.60888209072563
