velocity_kms,pa_beta_only_chi2,joint_profile_pa_beta_chi2,joint_profile_ci_chi2,joint_delta_chi2_pa_beta,joint_delta_chi2_ci
540.0,12706.970495995647,1828.7076684770445,1849.7171675246768,0.39046511539072526,21.399964163023014
545.0,9744.019653239062,1828.707668477042,1849.7171675246798,0.39046511538822415,21.39996416302597
550.0,7234.239848673118,1828.7076684770443,1849.7171675246775,0.3904651153904979,21.399964163023697
555.0,5190.50170768961,1828.7076684770443,1849.5384887816156,0.3904651153904979,21.22128541996176
560.0,3623.34145877907,1828.7076684770484,1848.4876712888677,0.3904651153945906,20.17046792721385
565.0,2540.858134706881,1828.707668477056,1846.5052892845556,0.39046511540209394,18.18808592290179
570.0,1948.639394784731,1828.3172033616538,1843.605169815353,0.0,15.287966453699255
575.0,1849.7171675246766,1828.3911121147967,1839.803696149207,0.0739087531428595,11.486492787553289
580.0,2244.5532420148666,1828.7076684770445,1835.119716008298,0.39046511539072526,6.802512646644118
585.0,3131.053896209049,1828.7076684770439,1829.5744624472063,0.39046511539004314,1.257259085552505
590.0,4504.611715036462,1828.7076684770443,1836.7436119864608,0.3904651153904979,8.426408624806982
595.0,6358.171980585982,1828.707668477042,1849.7171675246768,0.39046511538822415,21.399964163023014
600.0,8682.320458889728,1828.707668477042,1849.7171675246732,0.39046511538822415,21.399964163019376
605.0,11465.389089364126,1828.707668477042,1849.7171675246798,0.39046511538822415,21.39996416302597
610.0,14693.576011665873,1828.7076684770434,1849.7171675246775,0.3904651153895884,21.399964163023697
615.0,18351.07653112965,1828.7076684770443,1849.71684071329,0.3904651153904979,21.399637351636102
620.0,22420.221989652142,1828.7076684770445,1849.2192976265992,0.39046511539072526,20.90209426494539
625.0,26881.624037084293,1828.7076684770443,1847.7832920890046,0.3904651153904979,19.46608872735078
630.0,31714.322419947308,1828.7076684770445,1845.4210993410848,0.39046511539072526,17.103895979430945
635.0,36895.93507038235,1828.707668477042,1842.1476112564833,0.39046511538822415,13.830407894829477
640.0,42402.80991044355,1828.7076684770445,1837.9802365166227,0.39046511539072526,9.663033154968844
645.0,48210.17833974243,1828.7076684770443,1832.9388142411394,0.3904651153904979,4.621610879485615
650.0,54292.31079492851,1828.7076684770443,1828.3172033616538,0.3904651153904979,0.0
655.0,60622.67501554003,1828.7076684770445,1842.4605104948816,0.39046511539072526,14.143307133227836
660.0,67174.0977200209,1828.7076684770445,1848.668195524458,0.39046511539072526,20.350992162804232
665.0,73918.93026647772,1828.7076684770448,1846.8002134550804,0.39046511539095263,18.48301009342663
670.0,80829.21857373127,1828.7076684770443,1844.01264258063,0.3904651153904979,15.695439218976162
675.0,87876.87713806445,1828.7076684770443,1840.3215556191165,0.3904651153904979,12.004352257462642
680.0,95033.8664339586,1828.7076684770439,1835.7455003793198,0.39046511539004314,7.428297017665955
685.0,102272.37239922785,1828.7076684770443,1830.3054191664748,0.3904651153904979,1.9882158048210385
690.0,109564.98612144557,1828.7076684770439,1834.999139301041,0.39046511539004314,6.681935939387131
695.0,116884.88132206255,1828.7076684770445,1842.9319928182094,0.39046511539072526,14.614789456555627
700.0,124205.98682977232,1828.7076684770445,1838.9563441206362,0.39046511539072526,10.639140758982421
705.0,131503.15098209013,1828.7076684790754,1834.1021534218696,0.39046511742162693,5.784950060215806
710.0,138752.29481645455,1828.7076684770448,1828.3911121147967,0.39046511539095263,0.0739087531428595
715.0,145930.55102983303,1828.7076684770445,1839.477500988779,0.39046511539072526,11.160297627125146
720.0,153016.3859831957,1828.7076684770445,1849.7171675246798,0.39046511539072526,21.39996416302597
725.0,159989.70249019298,1828.7076684770448,1849.7171675246775,0.39046511539095263,21.399964163023697
730.0,166831.92172259622,1828.7076684770445,1849.7171675246775,0.39046511539072526,21.399964163023697
735.0,173526.04325097013,1828.7076684770434,1849.7171675246816,0.3904651153895884,21.39996416302779
740.0,180056.68296408435,1828.7076684770439,1849.7171675246755,0.39046511539004314,21.39996416302165
745.0,186410.089336997,1828.7076684770443,1849.7171675246775,0.3904651153904979,21.399964163023697
750.0,192574.13918829444,1828.7076684770443,1849.717167524674,0.3904651153904979,21.399964163020286
755.0,198538.31466350635,1828.7076684770445,1849.7171675246805,0.39046511539072526,21.399964163026652
