wavelength_nm,aperture_flux,aperture_error,pabeta_continuum,pabeta_continuum_subtracted,pabeta_model,pabeta_residual,pagamma_continuum,pagamma_continuum_subtracted,pagamma_model,pagamma_residual
995.1220290677156,280.603563785553,4.273351490943543,584.394311322379,-303.7907475368261,0.0,-303.7907475368261,515.4221250477538,-234.81856126220077,0.0,-234.81856126220077
995.7580290792976,287.55840039253235,4.011079998017918,583.969848161512,-296.41144776897966,0.0,-296.41144776897966,514.330039108703,-226.77163871617063,0.0,-226.77163871617063
996.3940290908795,303.30063796043396,3.9524542226001893,583.545385000645,-280.244747040211,0.0,-280.244747040211,513.237953169652,-209.937315209218,0.0,-209.937315209218
997.0300291024614,294.2533050775528,3.986923815766196,583.1209218397779,-288.8676167622251,0.0,-288.8676167622251,512.145867230601,-217.89256215304817,0.0,-217.89256215304817
997.6660291140433,294.07832193374634,3.85831477618798,582.6964586789109,-288.6181367451645,0.0,-288.6181367451645,511.0537812915502,-216.97545935780386,0.0,-216.97545935780386
998.3020291256253,301.4898328781128,3.866144557910281,582.2719955180438,-280.782162639931,0.0,-280.782162639931,509.9616953524992,-208.4718624743864,0.0,-208.4718624743864
998.9380291372072,292.3587727546692,4.099541388945714,581.8475323571768,-289.48875960250757,0.0,-289.48875960250757,508.8696094134482,-216.510836658779,0.0,-216.510836658779
999.5740291487891,308.70540499687195,4.079925713805819,581.4230691963097,-272.71766419943776,0.0,-272.71766419943776,507.7775234743972,-199.07211847752524,0.0,-199.07211847752524
1000.210029160371,317.4582530260086,4.186535000325961,580.9986060354427,-263.54035300943406,0.0,-263.54035300943406,506.6854375353464,-189.2271845093378,0.0,-189.2271845093378
1000.846029171953,303.90319561958313,4.099858741492179,580.5741428745756,-276.6709472549925,0.0,-276.6709472549925,505.5933515962954,-201.69015597671228,0.0,-201.69015597671228
1001.4820291835349,302.5085823535919,4.250917206233922,580.1496797137086,-277.64109736011665,0.0,-277.64109736011665,504.5012656572444,-201.99268330365248,0.0,-201.99268330365248
1002.1180291951168,287.01259422302246,4.173890337694804,579.7252165528415,-292.71262232981906,0.0,-292.71262232981906,503.4091797181936,-216.39658549517117,0.0,-216.39658549517117
1002.7540292066988,293.64922535419464,4.087088737211977,579.3007533919745,-285.6515280377798,0.0,-285.6515280377798,502.3170937791426,-208.66786842494798,0.0,-208.66786842494798
1003.3900292182807,290.1615846157074,4.160486804314772,578.8762902311074,-288.7147056154,0.0,-288.7147056154,501.2250078400916,-211.06342322438422,0.0,-211.06342322438422
1004.0260292298626,302.3494863510132,4.0814561967270615,578.4518270702404,-276.1023407192272,0.0,-276.1023407192272,500.1329219010406,-197.78343555002743,0.0,-197.78343555002743
1004.6620292414445,302.5114812850952,4.335215191983502,578.0273639093733,-275.5158826242781,0.0,-275.5158826242781,499.04083596198984,-196.52935467689463,0.0,-196.52935467689463
1005.2980292530265,306.1500768661499,4.054163207336749,577.6029007485063,-271.45282388235637,0.0,-271.45282388235637,497.94875002293884,-191.79867315678894,0.0,-191.79867315678894
1005.9340292646084,355.1098167896271,4.046338414571273,577.1784375876392,-222.06862079801215,0.0,-222.06862079801215,496.85666408388784,-141.74684729426076,0.0,-141.74684729426076
1006.5700292761903,479.6447660923004,4.299464571339694,576.7539744267722,-97.10920833447176,0.0,-97.10920833447176,495.76457814483706,-16.119812052536645,0.0,-16.119812052536645
