x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture,pabeta_flux,pagamma_flux,ratio,best_av,best_te,best_ne,best_intrinsic_ratio,grid_residual,chaos_1sigma,chaos_2sigma,chaos_3sigma
64,45,202.48200325441283,47.19582025463634,0.2000000029802321,-0.3000000044703481,0.3605551329190887,True,10.290346688960915,6.567715167999268,1.566807698832603,1.9124145163848556,7500.0,100000000000.0,1.36381997,0.32478828081794187,False,False,False
65,45,202.4819623743693,47.1958202546,0.3000000044703481,-0.3000000044703481,0.4242640750339554,True,6.437031519401351,4.487409591674805,1.4344648929180772,1.5069537301002982,5000.0,100000000000.0,1.28589947,0.7302490671024993,False,False,False
58,46,202.48224853475992,47.19584803232728,-0.4000000059604642,-0.2000000029802321,0.4472136021639595,True,87.59878798315634,38.19693374633789,2.293346072354691,2.293185957608514,12500.0,100000000000000.0,1.94183865,0.0559831604057166,False,True,True
59,46,202.48220765469492,47.195848032378194,-0.3000000044703481,-0.2000000029802321,0.3605551329190887,True,65.34205563558486,27.862783432006836,2.345137405063574,2.105425010426094,10000.0,100000000000000.0,2.01292705,0.13177778677670338,False,False,False
60,46,202.48216677463,47.19584803241453,-0.2000000029802321,-0.2000000029802321,0.2828427166893036,True,36.520206709732015,20.961196899414062,1.742276783381243,2.18372482421894,5000.0,10000000000.0,1.48699575,0.05347797298385748,False,True,True
61,46,202.48212589456497,47.195848032436345,-0.100000001490116,-0.2000000029802321,0.2236068010819797,True,23.990516680270282,11.48332691192627,2.0891608210991874,2.231124464239544,15000.0,1000.0,1.77693248,0.006078332963253441,True,True,True
62,46,202.4820850145,47.195848032443614,0.0,-0.2000000029802321,0.2000000029802321,True,15.281756325711966,7.207472324371338,2.1202656962050694,2.2337600842479493,10000.0,1000.0,1.80304387,0.003442712954848215,True,True,True
63,46,202.48204413443503,47.195848032436345,0.100000001490116,-0.2000000029802321,0.2236068010819797,True,12.377485491616804,9.263890266418457,1.3361001842266105,0.527846043604646,5000.0,100000000000.0,1.28589947,1.7093567535981515,False,False,False
64,46,202.48200325437003,47.19584803241453,0.2000000029802321,-0.2000000029802321,0.2828427166893036,True,8.155954933200707,2.4462437629699707,3.3340728576037773,4.603450095976756,5000.0,100000000000000.0,2.38739377,2.3662472987739585,False,False,False
65,46,202.48196237430503,47.195848032378194,0.3000000044703481,-0.2000000029802321,0.3605551329190887,True,6.364461039582416,2.024440288543701,3.1438126753349422,3.7935778882969915,5000.0,100000000000000.0,2.38739377,1.556375091094194,False,False,False
66,46,202.48192149424008,47.19584803232728,0.4000000059604642,-0.2000000029802321,0.4472136021639595,True,6.7039384491513845,2.8793842792510986,2.3282541678997486,2.005838074666516,10000.0,100000000000000.0,2.01292705,0.2313647225362816,False,False,False
58,47,202.48224853484552,47.19587581010548,-0.4000000059604642,-0.100000001490116,0.4123105687056719,True,43.67280298038181,21.020153045654297,2.0776634159383875,2.239789429956873,7500.0,10000000.0,1.76604278,0.0025866327540753353,True,True,True
59,47,202.48220765475912,47.19587581015638,-0.3000000044703481,-0.100000001490116,0.3162277707289986,True,30.587591962106494,13.687362670898438,2.2347323365034155,2.274033490205224,15000.0,100000000000000.0,1.89483997,0.036830693002426695,False,True,True
60,47,202.48216677467275,47.19587581019272,-0.2000000029802321,-0.100000001490116,0.2236068010819797,True,22.2593383857288,12.17107105255127,1.8288726020593604,2.1641575424798924,20000.0,100000000000.0,1.56312094,0.07304525472290502,False,False,True
61,47,202.4821258945864,47.19587581021454,-0.100000001490116,-0.100000001490116,0.1414213583446518,True,15.061321091131582,9.63213062286377,1.5636541571997118,1.884645069496303,7500.0,100000000000.0,1.36381997,0.3525577277064944,False,False,False
