x_pixel,y_pixel,ra_deg,dec_deg,dx_arcsec,dy_arcsec,radius_from_center_arcsec,inside_nominal_aperture
39,1,202.48302523384623,47.1945980285793,-2.300000034272669,-4.700000070035454,5.232590258752118,False
40,1,202.48298435474425,47.194598028906455,-2.2000000327825533,-4.700000070035454,5.189412375459914,False
41,1,202.48294347564223,47.194598029219065,-2.100000031292437,-4.700000070035454,5.147815147201919,False
42,1,202.4829025965402,47.194598029517145,-2.000000029802321,-4.700000070035454,5.107837191761554,False
43,1,202.48286171743823,47.19459802980067,-1.900000028312205,-4.700000070035454,5.069516817796313,False
44,1,202.4828208383362,47.19459803006968,-1.8000000268220888,-4.700000070035454,5.032891887860576,False
45,1,202.48277995923422,47.19459803032412,-1.700000025331973,-4.700000070035454,4.997999674315914,False
46,1,202.4827390801322,47.19459803056405,-1.6000000238418568,-4.700000070035454,4.9648767089049874,False
47,1,202.4826982010302,47.19459803078943,-1.5000000223517407,-4.700000070035454,4.933558626933351,False
48,1,202.48265732192817,47.19459803100027,-1.4000000208616248,-4.700000070035454,4.9040800071721735,False
49,1,202.48261644282616,47.19459803119656,-1.3000000193715087,-4.700000070035454,4.876474208759768,False
50,1,202.48257556372417,47.194598031378305,-1.2000000178813925,-4.700000070035454,4.85077320653611,False
51,1,202.48253468462215,47.19459803154552,-1.1000000163912766,-4.700000070035454,4.827007426386879,False
52,1,202.48249380552014,47.19459803169819,-1.0000000149011605,-4.700000070035454,4.805205582296724,False
53,1,202.48245292641812,47.19459803183633,-0.9000000134110444,-4.700000070035454,4.78539451691009,False
54,1,202.4824120473161,47.19459803195991,-0.8000000119209284,-4.700000070035454,4.767599047466844,False
55,1,202.4823711682141,47.194598032068974,-0.7000000104308124,-4.700000070035454,4.751841819014645,False
56,1,202.4823302891121,47.194598032163476,-0.6000000089406963,-4.700000070035454,4.738143166796684,False
57,1,202.48228941001008,47.19459803224346,-0.5000000074505803,-4.700000070035454,4.726520989669236,False
58,1,202.48224853090807,47.194598032308896,-0.4000000059604642,-4.700000070035454,4.716990636316935,False
59,1,202.48220765180605,47.194598032359785,-0.30000000447034814,-4.700000070035454,4.709564805904627,False
60,1,202.48216677270403,47.19459803239614,-0.2000000029802321,-4.700000070035454,4.704253464634465,False
61,1,202.48212589360202,47.19459803241795,-0.10000000149011605,-4.700000070035454,4.701063779468568,False
62,1,202.4820850145,47.19459803242521,0.0,-4.700000070035454,4.700000070035454,False
63,1,202.48204413539798,47.19459803241795,0.10000000149011605,-4.700000070035454,4.701063779468568,False
64,1,202.48200325629597,47.19459803239614,0.2000000029802321,-4.700000070035454,4.704253464634465,False
65,1,202.48196237719395,47.194598032359785,0.30000000447034814,-4.700000070035454,4.709564805904627,False
66,1,202.48192149809194,47.194598032308896,0.4000000059604642,-4.700000070035454,4.716990636316935,False
67,1,202.48188061898992,47.19459803224346,0.5000000074505803,-4.700000070035454,4.726520989669236,False
68,1,202.4818397398879,47.194598032163476,0.6000000089406963,-4.700000070035454,4.738143166796684,False
69,1,202.48179886078591,47.194598032068974,0.7000000104308124,-4.700000070035454,4.751841819014645,False
70,1,202.4817579816839,47.19459803195991,0.8000000119209284,-4.700000070035454,4.767599047466844,False
71,1,202.48171710258188,47.19459803183633,0.9000000134110444,-4.700000070035454,4.78539451691009,False
72,1,202.48167622347987,47.19459803169819,1.0000000149011605,-4.700000070035454,4.805205582296724,False
73,1,202.48163534437785,47.19459803154552,1.1000000163912766,-4.700000070035454,4.827007426386879,False
74,1,202.48159446527583,47.194598031378305,1.2000000178813925,-4.700000070035454,4.85077320653611,False
75,1,202.48155358617385,47.19459803119656,1.3000000193715087,-4.700000070035454,4.876474208759768,False
76,1,202.48151270707183,47.19459803100027,1.4000000208616248,-4.700000070035454,4.9040800071721735,False
