Te,ne,intrinsic_ratio,observed_ratio,ratio_sigma,ratio_observed_minus_intrinsic,required_Av,A_Pa_beta,A_Pa_gamma,predicted_ratio,ratio_residual,ratio_residual_sigma,solution_class,required_Av_minus_1sigma,required_Av_plus_1sigma,required_Av_uncertainty,CHAOS_Av,CHAOS_Av_sigma,delta_Av,difference_sigma
10000.0,100000.0,1.79230081,3.352378,0.103204,1.56007719,6.0911284,2.19665582,2.87651102,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.7869548,6.38607843,0.299561813,2.2372027972027975,0.028181818181818183,3.853925602797202,136.75219880893297
10000.0,1000000.0,1.78206278,3.352378,0.103204,1.57031522,6.14685394,2.21675223,2.90282719,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,5.84268035,6.44180397,0.299561813,2.2372027972027975,0.028181818181818183,3.9096511427972023,138.72955667990072
10000.0,10000000.0,1.75849732,3.352378,0.103204,1.59388068,6.27634687,2.26345153,2.96397971,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.97217328,6.57129691,0.299561813,2.2372027972027975,0.028181818181818183,4.039144072797203,143.3244670992556
10000.0,100000000.0,1.69104991,3.352378,0.103204,1.66132809,6.65679384,2.40065288,3.14364427,3.352378,0.0,0.0,positive_Av,6.35262025,6.95174388,0.299561813,2.2372027972027975,0.028181818181818183,4.419591042797203,156.82419829280397
10000.0,1000000000.0,1.64347826,3.352378,0.103204,1.70889974,6.93436796,2.50075499,3.27472753,3.352378,4.4408921e-16,4.3030232300000005e-15,positive_Av,6.63019436,7.22931799,0.299561813,2.2372027972027975,0.028181818181818183,4.697165162797203,166.6736025508685
10000.0,10000000000.0,1.57056856,3.352378,0.103204,1.78180944,7.37577907,2.65994196,3.48318216,3.352378,0.0,0.0,positive_Av,7.07160548,7.6707291,0.299561813,2.2372027972027975,0.028181818181818183,5.138576272797202,182.3365774218362
10000.0,100000000000.0,1.42114943,3.352378,0.103204,1.93122857,8.34826362,3.010651,3.9424341,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,8.04409002,8.64321365,0.299561813,2.2372027972027975,0.028181818181818183,6.111060822797203,216.8440937121588
10000.0,1000000000000.0,1.67198642,3.352378,0.103204,1.68039158,6.76707754,2.44042471,3.1957253,3.352378,-8.8817842e-16,-8.606046470000001e-15,positive_Av,6.46290394,7.06202757,0.299561813,2.2372027972027975,0.028181818181818183,4.529874742797203,160.73749087344913
10000.0,10000000000000.0,1.94123163,3.352378,0.103204,1.41114637,5.3146474,1.91663192,2.50982097,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,5.0104738,5.60959743,0.299561813,2.2372027972027975,0.028181818181818183,3.0774446027972027,109.19964719602977
10000.0,100000000000000.0,2.01292705,3.352378,0.103204,1.33945095,4.96185391,1.7894033,2.34321566,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,4.65768032,5.25680394,0.299561813,2.2372027972027975,0.028181818181818183,2.724651112797203,96.68116851861042
12500.0,100.0,1.79008877,3.352378,0.103204,1.56228923,6.10314147,2.20098812,2.88218415,3.352378,8.8817842e-16,8.606046470000001e-15,positive_Av,5.79896788,6.3980915,0.299561813,2.2372027972027975,0.028181818181818183,3.8659386727972023,137.17846903473944
12500.0,1000.0,1.78876404,3.352378,0.103204,1.56361396,6.1103429,2.20358518,2.885585,3.352378,0.0,0.0,positive_Av,5.80616931,6.40529294,0.299561813,2.2372027972027975,0.028181818181818183,3.8731401027972026,137.43400364764267
12500.0,10000.0,1.78539326,3.352378,0.103204,1.56698474,6.1286911,2.21020213,2.89424986,3.352378,-4.4408921e-16,-4.3030232300000005e-15,positive_Av,5.82451751,6.42364113,0.299561813,2.2372027972027975,0.028181818181818183,3.8914883027972027,138.085068808933
