species,wavelength_source,rest_wavelength_vacuum_nm,predicted_wavelength_at_M51_nm,observed_feature_nm,wavelength_difference_nm,absolute_wavelength_difference_nm,required_velocity_kms,reference_velocity_kms,velocity_offset_kms,instrument_fwhm_nm,distance_in_fwhm,relative_intensity,Aki_s-1,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,accuracy,line_reference,ranking
Fe I,Ritz vacuum,1283.0085949160757,1285.4662730716364,1284.2613044,1.2049686716363794,1.2049686716363794,292.56975748976345,573.72,-281.1502425102366,1.4015729612572303,0.8597259685685616,12.0,nan,46889.142,54683.322,3d6.(3F2).4s.4p.(3P*),x 3F*,4,3d7.(4F).4d,f 3F,4,,L11631,distant
Cs II,Ritz vacuum,1280.466464536794,1282.919273092629,1284.2613044,-1.3420313073709167,1.3420313073709167,887.1599500017281,573.72,313.4399500017281,1.4015729612572303,0.9575179776349967,3100.0,nan,170492.1254,178301.7795,5p5.(2P*<1/2>).7p,2[1/2],1,5p5.(2P*<1/2>).8s,2[1/2]*,0,,L12126,distant
Fe II,Ritz vacuum,1280.0843807732044,1282.5364574251978,1284.2613044,-1.7248469748021762,1.7248469748021762,976.6287641460124,573.72,402.90876414601235,1.4015729612572303,1.2306508633378348,1.8,nan,106361.238,114173.223,3d6.(5D).6p,6D*,9/2,3d6.(5D).6d,6D,7/2,,L18349c139,distant
Fe II,Ritz vacuum,1279.949204062928,1282.4010217760108,1284.2613044,-1.8602826239891783,1.8602826239891783,1008.2881254548784,573.72,434.5681254548783,1.4015729612572303,1.327282043398211,2.1,nan,107217.854,115030.664,3d6.(5D).6p,6F*,9/2,3d6.(3D).4d,4F,9/2,,L18349c139,distant
Fe II,Ritz vacuum,1279.8024342043027,1282.2539707711196,1284.2613044,-2.0073336288803603,2.0073336288803603,1042.666446526764,573.72,468.946446526764,1.4015729612572303,1.4322005948800227,7.0,nan,65580.065,73393.771,3d6.(3G).4p,x 4G*,11/2,3d5.4s2,4F,9/2,,L18349c139,distant
Fe II,Ritz vacuum,1279.7013867626376,1282.152729767158,1284.2613044,-2.1085746328419646,2.1085746328419646,1066.3373516947242,573.72,492.6173516947242,1.4015729612572303,1.5044344398243414,1.0,nan,107165.76,114980.083,3d6.(5D).6p,4F*,7/2,3d6.(5D).6d,6P,7/2,,L18349c139,distant
Mg II,Ritz vacuum,1279.5589180721433,1282.0099881695376,1284.2613044,-2.2513162304624075,2.2513162304624075,1099.7145594906303,573.72,525.9945594906303,1.4015729612572303,1.6062782978083037,nan,nan,109062.35,116877.54,2p6.6f,2F*,7/2,2p6.10g,2G,9/2,,L6692,distant
Mg II,Ritz vacuum,1279.554916985561,1282.0059794186395,1284.2613044,-2.2553249813604452,2.2553249813604452,1100.651977287709,573.72,526.9319772877091,1.4015729612572303,1.6091384777695679,nan,nan,109062.32,116877.54,2p6.6f,2F*,5/2,2p6.10g,2G,7/2,,L6692,distant
O I,Ritz vacuum,1279.4406859636474,1281.8915295805089,1284.2613044,-2.369774819491113,2.369774819491113,1127.4164827910126,573.72,553.6964827910126,1.4015729612572303,1.6907966156577336,nan,58900.0,99681.309,107497.224,2s2.2p3.(4S*).4p,3P,0,2s2.2p3.(4S*).8s,3S*,1,C+,,distant
He I,Ritz vacuum,1279.4020004577626,1281.8527699702702,1284.2613044,-2.408534429729798,2.408534429729798,1136.4810943972495,573.72,562.7610943972495,1.4015729612572303,1.7184509806534147,nan,1320000.0,nan,nan,1s.3d,1D,2,1s.5f,3F*,3,AA,,distant
He I,Ritz vacuum,1279.4007751249974,1281.8515422903083,1284.2613044,-2.4097621096916555,2.4097621096916555,1136.768213236326,573.72,563.0482132363259,1.4015729612572303,1.7193269107660765,nan,173.2,nan,nan,1s.3d,1D,2,1s.5f,3F*,2,AA,,distant
He I,Ritz vacuum,1279.3999348968155,1281.85070045262,1284.2613044,-2.4106039473799683,2.4106039473799683,1136.9650948837188,573.72,563.2450948837188,1.4015729612572303,1.7199275485577457,20.0,3247500.0,nan,nan,1s.3d,1D,2,1s.5f,1F*,3,AAA,L885,distant
O I,Ritz vacuum,1279.3981744187192,1281.848936602225,1284.2613044,-2.412367797775005,2.412367797775005,1137.3776092278042,573.72,563.6576092278042,1.4015729612572303,1.7211860277406306,nan,295000.0,99681.049,107497.224,2s2.2p3.(4S*).4p,3P,2,2s2.2p3.(4S*).8s,3S*,1,C+,,distant
O I,Ritz vacuum,1279.3848708058367,1281.8356075054921,1284.2613044,-2.425696894507837,2.425696894507837,1140.4949233355271,573.72,566.7749233355271,1.4015729612572303,1.7306961261095914,nan,177000.0,99680.968,107497.224,2s2.2p3.(4S*).4p,3P,1,2s2.2p3.(4S*).8s,3S*,1,C+,,distant
Fe I,Ritz vacuum,1279.294886368631,1281.7454506978236,1284.2613044,-2.5158537021764005,2.5158537021764005,1161.580999358192,573.72,587.860999358192,1.4015729612572303,1.7950215734182293,123.0,nan,40404.518,48221.324,3d6.(5D).4s.4p.(1P*),x 5D*,1,3d7.(4F).5s,e 5F,1,,L11631,distant
C I,Ritz vacuum,1279.2848436413133,1281.735388733073,1284.2613044,-2.5259156669269487,2.5259156669269487,1163.9344054933133,573.72,590.2144054933133,1.4015729612572303,1.8022006251184866,nan,7000.0,81325.81077,89142.68,2s2.2p.4p,3P,1,2s2.2p.(2P*<3/2>).8d,2[5/2]*,2,D,,distant
Fe I,Ritz vacuum,1284.4086551417004,1286.869015194675,1284.2613044,2.6077107946750857,2.6077107946750857,-34.39495271320661,573.72,-608.1149527132067,1.4015729612572303,1.860560146890914,229.0,nan,39969.853,47755.537,3d6.(5D).4s.4p.(1P*),x 5D*,3,3d7.(4F).5s,e 5F,3,,L11631,distant
Fe II,Ritz vacuum,1279.13910406263,1281.5893699816854,1284.2613044,-2.6719344183145495,2.6719344183145495,1198.08898609375,573.72,624.36898609375,1.4015729612572303,1.9063826801551504,2.3,nan,99918.563,107736.321,3d6.(3F2).5s,f 4F,3/2,3d6.(5D).6p,4F*,3/2,,L18349c139,distant
