species,element,ion_stage,observed_wavelength_air_nm,observed_wavelength_uncertainty_nm,ritz_wavelength_air_nm,ritz_wavelength_uncertainty_nm,observed_wavelength_vacuum_nm,ritz_wavelength_vacuum_nm,relative_intensity,Aki_s-1,accuracy,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,transition_probability_reference,line_reference,source,source_file
Cs II,Cs,2,1273.55184,0.00011,1273.55186,0.00018,1273.90022135402,1273.9002413594526,200000.0,nan,,149221.3163,157071.2245,5p5.(2P*<3/2>).7s,2[3/2]*,2,5p5.(2P*<3/2>).7p,2[3/2],2,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Ar II,Ar,2,1273.86,0.002,1273.86035,8e-05,1274.2084650617342,1274.2088151568075,0.0012,nan,,147503.1134,155351.1206,3s2.3p4.(3P).3d,4P,3/2,3s2.3p4.(3P).4p,4P*,3/2,,,L13470,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1273.8796,0.0005,1273.87953,0.00023,1274.2280703858282,1274.2280003668134,8.0,nan,,43922.668,51770.557,3d6.(3P2).4s.4p.(3P*),w 5D*,3,3d6.(5D).4s (4D).5s,g 5D,3,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1273.9204,0.0005,1273.91947,0.00023,1274.2688814686373,1274.2679512160146,9.0,nan,,47017.188,54864.831,3d7.(4P).4p,w 3D*,3,3d6.4s.(6D).6s,5D,3,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1274.1936,0.0003,1274.19387,0.00015,1274.542155680063,1274.5424257534053,1.4,nan,,106924.441,114770.394,3d6.(3F2).4d,2G,9/2,3d6.(3G).5p,2H*,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1274.25,0.03,nan,1274.5985710004445,nan,18000.0,D,80801.28887,88646.9,2s2.2p.4p,3D,2,2s2.2p.(2P*<3/2>).7d,2[1/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Si II,Si,2,nan,nan,1274.29,nan,nan,1274.6385818659667,nan,165000.0,D+,124316.9,132162.29,3s.3p.(3P*).3d,4D*,5/2,3s.3p.(3P*).4p,4D,7/2,,"T6527c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1274.47921,7e-05,1274.47911,0.00011,1274.8278432626348,1274.8277432354712,7.0,nan,,103751.672,111595.869,3d6.(3H).4d,4H,11/2,3d6.(3H).5p,4H*,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1274.48,0.03,nan,1274.8286334772292,nan,21000.0,D,81325.81077,89170.01,2s2.2p.4p,3P,1,2s2.2p.(2P*<3/2>).8d,2[1/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
N II,N,2,nan,nan,1274.527,nan,nan,1274.8756462442345,nan,1640000.0,C+,202861.36,210705.26,2s2.2p.4p,3D,3,2s2.2p.4d,3P*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1274.6,0.3,nan,1274.9486660738446,nan,80000.0,D,81325.81077,89169.2,2s2.2p.4p,3P,1,2s2.2p.(2P*<3/2>).8d,2[1/2]*,0,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1274.62264,0.00015,1274.62277,0.00023,1274.9713122237422,1274.971442259055,540.0,nan,,161699.6613,169542.9742,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<3/2>).5f,2[7/2],3,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Ar I,Ar,1,1274.6232,nan,1274.6232,nan,1274.9718723758597,1274.9718723758597,12.0,2000000.0,D,107131.7086,114975.019,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,1,,T1618n,L2634,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1274.63366,0.00019,1274.63362,0.00017,1274.9823352171993,1274.982295206334,40000.0,nan,,156822.8269,164666.073,5p5.(2P*<3/2>).7p,2[3/2],1,5p5.(2P*<3/2>).8s,2[3/2]*,1,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Al I,Al,1,1274.7671,nan,1274.7663,nan,1275.1158114646685,1275.1150112473572,8.0,6320.0,D,32435.453,40277.883,3s2.3d,2D,3/2,3s2.5p,2P*,3/2,,"u36,LS",L6693,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1274.91248,0.00015,1274.9128,0.00023,1275.2612309555348,1275.2615510424594,710.0,nan,,161701.4486,169542.9772,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,3,2s2.2p5.(2P*<3/2>).5f,2[7/2],4,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
Al I,Al,1,1274.9909,nan,1274.9846,nan,1275.3396722574726,1275.3333705461457,nan,56700.0,C+,32436.796,40277.883,3s2.3d,2D,5/2,3s2.5p,2P*,3/2,,"u36,LS",L6693,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1275.27222,0.00014,1275.27435,0.00023,1275.6210686750592,1275.6231992536516,nan,nan,,161699.6613,169538.9668,2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,2s2.2p5.(2P*<3/2>).5f,2[5/2],3,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
