species,element,ion_stage,observed_wavelength_air_nm,observed_wavelength_uncertainty_nm,ritz_wavelength_air_nm,ritz_wavelength_uncertainty_nm,observed_wavelength_vacuum_nm,ritz_wavelength_vacuum_nm,relative_intensity,Aki_s-1,accuracy,lower_energy_cm-1,upper_energy_cm-1,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,transition_probability_reference,line_reference,source,source_file
C I,C,1,1289.7217,0.0008,1289.7204,0.0004,1290.0744738835385,1290.0731735303787,8300.0,1400000.0,D,78731.2956,86482.794,2s2.2p.3d,1P*,1,2s2.2p.(2P*<3/2>).5f,2[5/2],2,,T9787,L12175c183,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1289.7222,0.0005,1289.7229,0.0004,1290.074974019369,1290.0756742095318,13.0,nan,,42859.778,50611.261,3d6.(3P2).4s.4p.(3P*),x 5P*,2,3d6.(5D).4s (6D).4d,e 7P,3,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1289.7334,nan,nan,1290.0861770619756,nan,3230000.0,C+,96864.05,104615.47,2s2.2p2.(3P).3p,2D*,5/2,2s2.2p2.(3P).3d,2P,3/2,,T7370,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,nan,nan,1289.745,0.0003,nan,1290.0977802132468,nan,0.0194,C+,22637.195,30388.5451,3d6.(3F2).4s,b 4F,9/2,3d6.(3G).4s,b 2G,9/2,M1,T8961,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1289.8346,0.0003,1289.83476,0.00018,1290.1874045541076,1290.1875645975736,1.4,nan,,104593.292,112344.103,3d6.(5D).5d,6G,11/2,3d5.(4F).4s.4p.(3P*),4G*,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1289.9569,0.00013,1289.95692,0.00012,1290.3097377783156,1290.3097577837489,2.4,nan,,102394.764,110144.841,3d6.(5D).6s,4D,7/2,3d6.(3F2).5p,4F*,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1290.027,0.005,nan,1290.3798568218003,nan,270000.0,D,80834.62491,88584.28,2s2.2p.4p,3D,3,2s2.2p.(2P*<3/2>).8s,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1290.05021,0.00015,1290.0503,0.00013,1290.40307312707,1290.4031631515195,1.7,nan,,103986.338,111735.854,3d6.(3H).4d,4H,7/2,3d6.(3H).5p,4H*,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1290.1091,0.0005,1290.0965,0.0003,1290.4619791252346,1290.4493757022954,nan,nan,,166806.1612,174555.3995,5p5.(2P*<3/2>).5f,2[9/2],4,5p5.(2P*<3/2>).6g,2[9/2]*,5,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1290.1091,0.0005,1290.1146,0.0005,1290.4619791252346,1290.467480619375,nan,nan,,166806.1612,174555.2911,5p5.(2P*<3/2>).5f,2[9/2],4,5p5.(2P*<3/2>).6g,2[9/2]*,4,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
S I,S,1,nan,nan,1290.1499,0.0013,nan,1290.5027902090396,nan,156000.0,E,70164.61,77913.528,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).6p,3P,1,,"T8595,T7952",,NIST ASD,m51_nist_1270_1300_raw.csv
Si III,Si,3,nan,nan,1290.163,nan,nan,1290.5158937678113,nan,25100000.0,B,227665.09,235413.93,3s.5d,1D,2,3p.3d,1F*,3,,T6298c4,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1290.335,0.003,nan,1290.6879404936878,nan,250000.0,D,80801.28887,88549.095,2s2.2p.4p,3D,2,2s2.2p.(2P*<1/2>).8s,2[1/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
S I,S,1,nan,nan,1290.4067,0.0013,nan,1290.7596599718715,nan,563000.0,D,70166.1526,77913.528,3s2.3p3.(4S*).3d,3D*,2,3s2.3p3.(4S*).6p,3P,1,,"T8595,T7952",,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1290.437,0.02,nan,1290.7899682032396,nan,240.0,D,81344.05485,89091.25,2s2.2p.4p,3P,2,2s2.2p.(2P*<1/2>).8d,2[3/2]*,1,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1290.794,0.003,nan,1291.1470651867928,nan,297000.0,B+,30266.99,38012.042,2p6.4p,2P*,1/2,2p6.7s,2S,1/2,,c30,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1291.01,0.03,nan,1291.3631238660084,nan,90000.0,D,80801.28887,88545.02,2s2.2p.4p,3D,2,2s2.2p.(2P*<1/2>).7d,2[5/2]*,3,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1291.20141,0.00014,1291.20141,0.00024,1291.5545858650873,1291.5545858650873,8400.0,1320000.0,C+,150858.5079,158601.1152,2s2.2p5.(2P*<1/2>).3p,2[3/2],2,2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,,T6976,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1291.3,0.3,nan,1291.6532026483967,nan,15000.0,D,80801.28887,88543.5,2s2.2p.4p,3D,2,2s2.2p.(2P*<1/2>).7d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1291.32089,0.00017,nan,nan,1291.67409832345,nan,123.0,nan,,nan,nan,,,,,,,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1291.63181,6e-05,1291.62718,0.00012,1291.9851027891839,1291.980471531379,90.0,20000.0,D,83459.721,91199.776,3d6.(5D).4d,e 6F,3/2,3d6.(5D).5p,4D*,1/2,,T6892c83,L18349c145,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1291.63182,0.00017,nan,nan,1291.9851127919003,nan,630.0,nan,,nan,nan,,,,,,,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1291.726,0.003,nan,1292.079318377233,nan,592000.0,B+,30272.58,38012.042,2p6.4p,2P*,3/2,2p6.7s,2S,1/2,,c30,,NIST ASD,m51_nist_1270_1300_raw.csv
S I,S,1,nan,nan,1292.0418,0.0018,nan,1292.3952041688754,nan,836000.0,E,70164.61,77902.181,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).6p,3P,0,,"T8595,T7952",,NIST ASD,m51_nist_1270_1300_raw.csv
Ni II,Ni,2,nan,nan,1292.414,nan,nan,1292.767505282583,nan,3.7e-05,E,24788.2,32523.54,3p6.3d8.(3P).4s,4P,3/2,3p6.3d8.(1G).4s,2G,7/2,E2,T4240,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1292.5772,0.0005,1292.5772,0.0004,1292.9307496183724,1292.9307496183724,1.0,nan,,96239.416,103973.782,3d5.(4G).4s.4p.(3P*),2H*,9/2,3d6.(3H).4d,4K,11/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1292.789294,7e-06,nan,1293.1429012370274,nan,1.423,AA,nan,nan,1s.3p,1P*,1,1s.5p,1P*,1,E2,T7378,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1293.3005,0.0005,1293.30061,0.00024,1293.6542461144104,1293.6543561442936,110.0,nan,,40491.284,48221.324,3d6.(5D).4s.4p.(1P*),x 5D*,0,3d7.(4F).5s,e 5F,1,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Si III,Si,3,nan,nan,1293.302,nan,nan,1293.6557465219103,nan,5950000.0,C+,234415.07,242145.1,3s.6p,3P*,0,3s.7s,3S,1,,"T6298c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Ar I,Ar,1,1293.3195,nan,1293.3196,nan,1293.6732512760752,1293.673351303242,50.0,10000000.0,D,107131.7086,114861.635,3s2.3p5.(2P*<1/2>).4p,2[3/2],1,3s2.3p5.(2P*<1/2>).5s,2[1/2]*,0,,T1618n,L2634,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1293.4667,0.0005,1293.4666,0.00024,1293.8204912654126,1293.8203912382455,204.0,nan,,43499.505,51228.553,3d6.(3P2).4s.4p.(3P*),w 5D*,4,3d6.(5D).4s (6D).4d,e 7G,5,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1293.4956,0.0008,1293.49372,0.0001,1293.8493991165835,1293.84751860585,0.4,nan,,105211.079,112939.965,3d6.(5D).5d,4G,9/2,3d6.(5D<4>).5f,2[5]*,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1293.7934,0.0007,1293.7935,0.0009,1294.1472800190345,1294.147380046201,600.0,nan,,172914.6297,180641.725,5p5.(2P*<3/2>).8d,2[7/2]*,4,5p5.(2P*<3/2>).9f,2[9/2],5,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1293.96154,0.00016,1293.96115,0.00012,1294.3154656971915,1294.315075591241,2.4,nan,,107283.77,115009.864,3d6.(5D).6p,6D*,1/2,3d6.(5D).6d,6P,3/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
S I,S,1,nan,nan,1293.9923,0.001,nan,1294.3462340536853,nan,11900.0,E',70164.61,77890.518,3s2.3p3.(4S*).3d,3D*,1,3s2.3p3.(4S*).6p,3P,2,,"T8595,T7952",,NIST ASD,m51_nist_1270_1300_raw.csv
S I,S,1,nan,nan,1294.2507,0.0009,nan,1294.604704252634,nan,156000.0,E,70166.1526,77890.518,3s2.3p3.(4S*).3d,3D*,2,3s2.3p3.(4S*).6p,3P,2,,"T8595,T7952",,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1294.2663,nan,1294.26629,0.0001,1294.6203084906542,1294.6202984879376,nan,0.00213,B,667.6829,8391.9554,3d6.(5D).4s,a 6D,5/2,3d6.(5D).4s,a 4D,5/2,M1,T9588c101,L22760,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1294.4529,0.0002,1294.45256,0.00017,1294.806959183923,1294.8066190915558,1.1,nan,,103921.637,111644.798,3d6.(3H).4d,4G,7/2,3d5.(2H).4s.4p.(3P*),4I*,9/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1294.654,0.0005,1294.65321,0.00024,1295.008113816436,1295.007323601818,19.0,nan,,26224.969,33946.933,3d7.(2D2).4s,a 3D,3,3d6.(5D).4s.4p.(3P*),z 3P*,2,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,1294.987,0.006,1294.9826,0.0008,1295.3412042821399,1295.336803086796,2100.0,110000.0,B,77679.83311,85399.833,2s2.2p.3d,1D*,2,2s2.2p.5p,1D,2,,T5520,L9405c186,NIST ASD,m51_nist_1270_1300_raw.csv
Si III,Si,3,nan,nan,1295.536,nan,nan,1295.8903534286528,nan,17800000.0,B,234428.4,242145.1,3s.6p,3P*,1,3s.7s,3S,1,,"T6298c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
S I,S,1,nan,nan,1295.5557,0.0009,nan,1295.9100587805485,nan,650000.0,D,70173.9334,77890.518,3s2.3p3.(4S*).3d,3D*,3,3s2.3p3.(4S*).6p,3P,2,,"T8595,T7952",,NIST ASD,m51_nist_1270_1300_raw.csv
Ar I,Ar,1,1295.6659,nan,1295.6658,nan,1296.020288718575,1296.0201886914078,500.0,7400000.0,D,104102.099,111818.028,3s2.3p5.(2P*<3/2>).4p,2[1/2],1,3s2.3p5.(2P*<3/2>).3d,2[1/2]*,1,,T1618n,L2634,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1295.6746,0.0008,1295.6749,0.0003,1296.0289910821043,1296.0292911636052,280.0,nan,,169185.5968,176901.4718,5p5.(2P*<3/2>).5g,2[9/2]*,5,5p5.(2P*<3/2>).7f,2[7/2],4,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1295.84932,0.00017,nan,nan,1296.203758548313,nan,251.0,nan,,nan,nan,,,,,,,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Si II,Si,2,nan,nan,1296.19,nan,nan,1296.5445311010283,nan,944000.0,C,124449.5,132162.29,3s.3p.(3P*).3d,4D*,7/2,3s.3p.(3P*).4p,4D,7/2,,"T6527c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1296.2225,0.0005,1296.2234,0.0004,1296.5770399303294,1296.577940174833,16.0,nan,,45833.223,53545.833,3d6.(3F2).4s.4p.(3P*),x 5G*,4,3d7.(4F).4d,h 5D,3,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1296.34877,9e-05,1296.34929,0.00012,1296.7033442342156,1296.7038643754845,14.0,890000.0,C+,84131.624,91843.485,3d6.(5D).4d,6D,1/2,3d6.(5D).5p,w 6P*,3/2,,T6892c83,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1296.4422,0.0005,1296.4423,0.0009,1296.7967996164436,1296.796899643611,14.0,nan,,50185.743,57897.051,3d6.(5D).4s (6D).5p,n 7P*,4,3d6.(5D).4s (6D).7s,7D,5,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
O II,O,2,nan,nan,1296.502,nan,nan,1296.8566158623805,nan,6560000.0,D,248186.64,255897.59,2s2.2p2.(3P).4p,2D*,5/2,2s2.2p2.(3P).4d,2D,5/2,,T5723LS,,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1296.6,0.03,nan,1296.9546424861678,nan,11000.0,D,80834.62491,88545.02,2s2.2p.4p,3D,3,2s2.2p.(2P*<1/2>).7d,2[5/2]*,3,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Cs II,Cs,2,1296.6721,0.0002,1296.67234,0.00017,1297.0267620736777,1297.0270021388787,160.0,nan,,168565.0066,176274.9463,5p5.(2P*<3/2>).8p,2[1/2],0,5p5.(2P*<3/2>).10s,2[3/2]*,1,,,L12126,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1296.845,nan,1296.843019,7e-06,1297.1997090456973,1297.1977275075155,10.0,3361500.0,AAA,nan,nan,1s.3p,1P*,1,1s.5d,1D,2,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1296.9,0.3,nan,1297.2547239876449,nan,420.0,D,80834.62491,88543.5,2s2.2p.4p,3D,3,2s2.2p.(2P*<1/2>).7d,2[3/2]*,2,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1296.9581,nan,nan,1297.312839771779,nan,854000.0,D+,104144.82,111853.061,2s2.2p2.(3P).4s,2P,1/2,2s2.2p2.(3P).5p,2D*,3/2,,"u18,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,nan,nan,1297.034484,7e-06,nan,1297.389244523169,nan,330.3,AA,nan,nan,1s.3p,1P*,1,1s.5d,3D,2,,T8636c73,,NIST ASD,m51_nist_1270_1300_raw.csv
S I,S,1,nan,nan,1297.047,0.017,nan,1297.401763923416,nan,527000.0,D,73920.945,81628.66,3s2.3p3.(4S*).5p,5P,3,3s2.3p3.(4S*).8d,5D*,4,,"T8595,T7952",,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,1297.054,0.006,1297.05555,7e-05,1297.40876582512,1297.4103162462118,nan,15000.0,C,61981.83211,69689.49393,2s2.2p.3s,1P*,1,2s2.2p.3p,3D,1,,"T6070,u24",L9405c186,NIST ASD,m51_nist_1270_1300_raw.csv
Ar II,Ar,2,1297.45898,0.00012,1297.45918,0.0001,1297.813855846978,1297.8140559013123,25.0,nan,,191974.58,199679.844,3s2.3p4.(1S).4p,2P*,3/2,3s2.3p4.(1D).4d,2D,5/2,,,L11520,NIST ASD,m51_nist_1270_1300_raw.csv
N I,N,1,nan,nan,1297.6156,nan,nan,1297.970518396361,nan,35700.0,C,104615.47,112319.805,2s2.2p2.(3P).3d,2P,3/2,2s2.2p2.(1D).3p,2P*,3/2,,T5714,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1297.63399,8e-05,1297.63433,0.0001,1297.9889133924248,1297.9892534847934,6.0,nan,,102802.353,110506.577,3d6.(5D).6s,4D,5/2,3d6.(3P2).5p,4D*,5/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1297.7356,0.0013,1297.73506,0.00024,1298.0905509971128,1298.0900108504093,8.0,nan,,40257.314,47960.94,3d6.(5D).4s.4p.(1P*),x 5F*,5,3d7.(4F).5s,e 3F,4,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1297.7696,nan,1297.76963,0.00012,1298.1245602339964,1298.1245902421465,nan,0.00115,C+,977.0498,8680.4706,3d6.(5D).4s,a 6D,1/2,3d6.(5D).4s,a 4D,3/2,M1,T9588c104,L22760,NIST ASD,m51_nist_1270_1300_raw.csv
Si III,Si,3,nan,nan,1297.854,nan,nan,1298.2089831632084,nan,29500000.0,B,234442.18,242145.1,3s.6p,3P*,2,3s.7s,3S,1,,"T6298c4,LS",,NIST ASD,m51_nist_1270_1300_raw.csv
Ne I,Ne,1,1298.00736,0.00015,1298.00741,0.00024,1298.3623848270256,1298.3624348406092,25.0,nan,,162830.7073,170532.7169,2s2.2p5.(2P*<3/2>).4p,2[5/2],3,2s2.2p5.(2P*<3/2>).7s,2[3/2]*,2,,,L9097,NIST ASD,m51_nist_1270_1300_raw.csv
S IV,S,4,nan,nan,nan,nan,nan,nan,nan,17.0,D,255395.8,263097.1,3s2.4d,2D,3/2,3s.3p.(3P*).4s,4P*,1/2,,u29,,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1298.2936,0.0005,nan,1298.6487025908827,nan,3480.0,C',33200.673,nan,2p6.5s,2S,1/2,2p6.15p,2P*,3/2,,T817,,NIST ASD,m51_nist_1270_1300_raw.csv
Na I,Na,1,nan,nan,1298.3042,0.0005,nan,1298.6593054706254,nan,3480.0,C',33200.673,nan,2p6.5s,2S,1/2,2p6.15p,2P*,1/2,,T817,,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1298.489,nan,1298.485355,7e-06,1298.844155675976,1298.8405096857239,nan,272940.0,AAA,nan,nan,1s.3d,3D,1,1s.5p,3P*,0,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1298.489,nan,1298.487252,7e-06,1298.844155675976,1298.8424072010894,nan,204660.0,AAA,nan,nan,1s.3d,3D,2,1s.5p,3P*,1,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1298.489,nan,1298.487591,7e-06,1298.844155675976,1298.842746293187,nan,229270.0,AAA,nan,nan,1s.3d,3D,3,1s.5p,3P*,2,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1298.489,nan,1298.488015,7e-06,1298.844155675976,1298.8431704083769,nan,40931.0,AAA,nan,nan,1s.3d,3D,2,1s.5p,3P*,2,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1298.489,nan,1298.494706,7e-06,1298.844155675976,1298.8498632261485,nan,68235.0,AAA,nan,nan,1s.3d,3D,1,1s.5p,3P*,1,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
He I,He,1,1298.489,nan,1298.495469,7e-06,1298.844155675976,1298.8506264334355,nan,2729.4,AAA,nan,nan,1s.3d,3D,1,1s.5p,3P*,2,,T8636c73,L885,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1298.5804,0.0003,1298.58144,0.00017,1298.9355805069956,1298.9366207895368,7.0,nan,,57411.086,65109.691,3d5.4s2,d 4P,5/2,3d6.(3F2).4p,y 2G*,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,nan,nan,1299.0263,0.0004,nan,1299.3816016466835,nan,0.00513,C,25805.327,33501.2957,3d6.(3G).4s,a 4G,9/2,3d6.(1G2).4s,c 2G,7/2,M1,T8961,,NIST ASD,m51_nist_1270_1300_raw.csv
O I,O,1,1299.077,nan,nan,nan,1299.4323154206022,nan,120.0,nan,,116631.094,124326.779,2s2.2p3.(2D*).3p,1D,2,2s2.2p3.(2D*<3/2>).3d,1F*,3,,,L3760,NIST ASD,m51_nist_1270_1300_raw.csv
O III,O,3,nan,nan,1299.14,nan,nan,1299.4953325361278,nan,18000000.0,C+,394197.9,401893.2,2s.2p2.(2D).3s,3D,3,2s2.2p.(2P*).5d,3F*,4,,T5376LS,,NIST ASD,m51_nist_1270_1300_raw.csv
Fe II,Fe,2,1299.5005,0.0003,1299.5002,0.00019,1299.8559304750772,1299.8556303935743,1.2,nan,,104042.692,111735.854,3d6.(3H).4d,4G,5/2,3d6.(3H).5p,4H*,7/2,,,L18349c139,NIST ASD,m51_nist_1270_1300_raw.csv
Fe I,Fe,1,1299.5667,0.0005,1299.56676,0.00024,1299.9221484600032,1299.9222084763035,7.0,nan,,43499.505,51192.273,3d6.(3P2).4s.4p.(3P*),w 5D*,4,3d6.(5D).4s (6D).4d,e 7F,4,,,L11631,NIST ASD,m51_nist_1270_1300_raw.csv
C I,C,1,nan,nan,1299.791,0.003,nan,1300.1465093968911,nan,36000.0,D,79310.86822,87002.31,2s2.2p.3d,3P*,2,2s2.2p.6p,3D,3,,T5520LS,,NIST ASD,m51_nist_1270_1300_raw.csv
