wavelength_nm,aperture_flux,aperture_error,pabeta_continuum,pabeta_residual,pagamma_continuum,pagamma_residual
1062.5380302954,294.28487825393677,3.40561418990319,492.8771013729505,-198.59222311901374,409.6049765880357,-115.32009833409893
1063.1740303069816,302.34849870204926,3.5529068118859826,492.59410804052686,-190.2456093384776,408.24224112724596,-105.8937424251967
1063.8100303185636,300.17116022109985,3.6117004101427033,492.31111470810316,-192.1399544870033,406.87950566645577,-106.70834544535592
1064.4460303301455,319.20103669166565,3.945853832394024,492.0281213756794,-172.82708468401376,405.5167702056656,-86.31573351399993
1065.0820303417277,314.31919515132904,3.6732179729854715,491.7451280432556,-177.42593289192655,404.1540347448745,-89.83483959354544
1065.7180303533096,316.972895860672,3.685747619580781,491.46213471083183,-174.48923885015984,402.7912992840843,-85.81840342341229
1066.3540303648913,316.8801009654999,4.427786923179098,491.17914137840825,-174.29904041290837,401.42856382329455,-84.54846285779468
1066.9900303764732,308.2512996196747,3.5627151092900546,490.8961480459845,-182.6448484263098,400.06582836250436,-91.81452874282968
1067.6260303880551,291.2035961151123,3.5711666563195648,490.6131547135608,-199.40955859844848,398.7030929017142,-107.49949678660187
1068.262030399637,292.6322445869446,3.5971375245804067,490.3301613811371,-197.6979167941925,397.340357440924,-104.7081128539794
1068.8980304112192,309.8896280527115,3.7148006437630134,490.0471680487132,-180.15753999600173,395.97762198013334,-86.08799392742185
1069.534030422801,319.96725249290466,3.7941911292889268,489.76417471628963,-169.79692222338497,394.6148865193436,-74.64763402643894
1070.1700304343829,292.5344355106354,3.663890017460463,489.4811813838659,-196.9467458732305,393.2521510585534,-100.71771554791803
1070.8060304459648,304.3245356082916,3.753627492314412,489.1981880514422,-184.87365244315055,391.8894155977632,-87.56487998947159
1071.4420304575467,310.19448161125183,3.7321024444544886,488.9151947190184,-178.72071310776658,390.526680136973,-80.3321985257212
1072.0780304691289,294.37928009033203,5.092983111820445,488.6322013865946,-194.25292129626257,389.1639446761824,-94.78466458585035
1072.7140304807106,306.6684846878052,3.685404078475803,488.349208054171,-181.68072336636584,387.80120921539265,-81.13272452758747
1073.3500304922925,321.16289806365967,3.691703500334566,488.06621472174726,-166.9033166580876,386.43847375460246,-65.27557569094279
1073.9860305038744,313.573029756546,3.772175795356354,487.78322138932356,-174.21019163277754,385.07573829381226,-71.50270853726624
1074.6220305154563,328.7701563835144,4.057775520693969,487.5002280568998,-158.7300716733854,383.7130028330221,-54.94284644950767
1075.2580305270385,313.7520840167999,3.7470891678872382,487.217234724476,-173.46515070767606,382.35026737223143,-68.5981833554315
1075.8940305386202,316.68731331825256,3.7645474283936324,486.93424139205234,-170.24692807379978,380.9875319114417,-64.30021859318913
1076.5300305502021,313.62840962409973,3.727782144081958,486.65124805962864,-173.0228384355289,379.6247964506515,-65.99638682655177
1077.166030561784,298.5172336101532,3.948775697918679,486.36825472720494,-187.85102111705174,378.2620609898613,-79.74482737970811
1077.802030573366,306.5939769744873,3.657592650760299,486.0852613947812,-179.49128442029388,376.89932552907067,-70.30534855458336
1078.4380305849481,313.13967752456665,3.646669967071052,485.80226806235737,-172.66259053779072,375.53659006828,-62.39691254371337
1079.0740305965298,299.3842968940735,3.894583588576599,485.5192747299337,-186.13497783586024,374.1738546074903,-74.7895577134168
1079.7100306081118,310.48395788669586,3.8442284660878108,485.23628139751,-174.75232351081416,372.8111191467001,-62.32716126000423
1080.3460306196937,324.85176914930344,3.921108173069755,484.95328806508627,-160.10151891578283,371.4483836859099,-46.59661453660647
1080.9820306312756,323.76095056533813,3.8046461251728316,484.67029473266257,-160.90934416732443,370.0856482251197,-46.32469765978158
1081.6180306428578,315.6005506515503,3.880842914050217,484.38730140023875,-168.78675074868846,368.72291276432907,-53.122362112778774
1082.2540306544395,323.2124035358429,3.990019813153737,484.1043080678151,-160.89190453197222,367.36017730353933,-44.147773767696435
1082.8900306660214,310.2521026134491,3.847162679554244,483.8213147353914,-173.56921212194231,365.99744184274914,-55.74533922930004
1083.5260306776033,329.96628427505493,3.8429059169960937,483.53832140296765,-153.57203712791272,364.63470638195895,-34.66842210690402
1084.1620306891853,403.98814606666565,4.046995121703174,483.25532807054395,-79.2671820038783,363.27197092116876,40.71617514549689
1084.7980307007674,545.0087475776672,4.353719875923313,482.97233473812014,62.0364128395471,361.9092354603781,183.09951211728912
1085.434030712349,533.0065579414368,4.407171819701722,482.6893414056965,50.31721653574027,360.5464999995884,172.4600579418484
1086.070030723931,377.02547240257263,3.9527988409374513,482.4063480732728,-105.38087567070016,359.1837645387982,17.841707863774445
1086.706030735513,330.3168444633484,3.6972076679901544,482.12335474084904,-151.80651027750065,357.821029078008,-27.504184614659607
1087.342030747095,328.3339774608612,4.669084523710685,481.84036140842534,-153.50638394756413,356.4582936172178,-28.1243161563566
1087.978030758677,331.6698031425476,3.8872402540742947,481.5573680760015,-149.88756493345392,355.09555815642716,-23.425755013879552
1088.6140307702588,309.01092767715454,3.7969706017218416,481.2743747435779,-172.26344706642334,353.7328226956374,-44.72189501848288
1089.2500307818407,301.68075025081635,3.8760387336041644,480.9913814111542,-179.31063116033783,352.37008723484723,-50.68933698403089
1089.8860307934226,316.98331093788147,3.795640173064575,480.7083880787304,-163.72507714084895,351.0073517740566,-34.02404083617512
1090.5220308050045,305.8321282863617,3.7751090548360513,480.4253947463067,-174.59326645994503,349.6446163132664,-43.8124880269047
1091.1580308165867,303.86187982559204,3.8013895088767753,480.14240141388285,-176.2805215882908,348.28188085247575,-44.42000102688371
1091.7940308281684,317.6155092716217,4.036783193317065,479.85940808145926,-162.24389880983756,346.919145391686,-29.30363612006431
1092.4300308397503,311.5191023349762,4.087142824183868,479.5764147490355,-168.0573124140593,345.5564099308958,-34.03730759591963
1093.0660308513322,323.8074440956116,3.6976266198100523,479.2934214166118,-155.48597732100023,344.19367447010563,-20.386230374494062
1093.7020308629142,318.82536816596985,3.6707548607714093,479.0104280841881,-160.18505991821826,342.83093900931544,-24.005570843345595
1094.3380308744963,312.31527745723724,4.041182484245702,478.72743475176424,-166.412157294527,341.4682035485248,-29.152926091287554
1094.974030886078,420.9765000343323,3.933706068901444,478.44444141934065,-57.46794138500837,340.10546808773506,80.87103194659721
1095.61003089766,737.4927501678467,4.738066567457948,478.1614480869169,259.3313020809298,338.74273262694487,398.7500175409018
1096.2460309092419,698.1820373535156,4.85186326121727,477.8784547544932,220.30358259902243,337.3799971661547,360.80204018736094
1096.8820309208238,407.51028203964233,3.8780325384368344,477.59546142206943,-70.0851793824271,336.0172617053645,71.49302033427784
1097.518030932406,320.3421918153763,14.40745304274279,477.3124680896456,-156.97027627426934,334.65452624457384,-14.312334429197563
1098.1540309439877,293.5622184276581,4.2687474711099505,477.02947475722203,-183.46725632956395,333.2917907837841,-39.72957235612603
1098.7900309555696,310.2692047357559,4.1457109916507635,476.7464814247983,-166.47727668904236,331.9290553229939,-21.659850587237997
1099.4260309671515,307.0118169784546,3.806447260640089,476.4634880923746,-169.45167111391999,330.5663198622037,-23.554502883749137
1100.0620309787334,305.4989194869995,3.6893585433049885,476.1804947599508,-170.6815752729513,329.20358440141354,-23.704664914414025
1100.6980309903156,293.0943036079407,3.568035024522551,475.897501427527,-182.80319781958633,327.84084894062244,-34.74654533268176
1101.3340310018973,315.8451159000397,3.727856770646129,475.61450809510336,-159.7693921950637,326.4781134798327,-10.632997579793027
1101.9700310134792,322.2260935306549,3.972206460845968,475.33151476267966,-153.10542123202475,325.1153780190425,-2.8892844883876023
1102.6060310250612,330.0733697414398,3.744796524823105,475.04852143025596,-144.97515168881614,323.7526425582523,6.3207271831875005
1103.242031036643,315.76171708106995,3.7338791651364773,474.7655280978322,-159.00381101676226,322.3899070974621,-6.628190016392182
1103.8780310482252,310.5169460773468,3.5647867773539295,474.4825347654084,-163.9655886880616,321.0271716366715,-10.510225559324681
1104.514031059807,324.81717467308044,3.718968195228664,474.19954143298474,-149.3823667599043,319.66443617588175,5.152738497198698
1105.1500310713889,323.311417222023,3.8665913512104204,473.91654810056104,-150.60513087853803,318.30170071509156,5.009716506931454
1105.7860310829708,310.64891135692596,3.7379895810611887,473.6335547681373,-162.98464341121132,316.93896525430137,-6.290053897375401
1106.4220310945527,310.61583185195923,3.6307278387010555,473.3505614357136,-162.73472958375436,315.5762297935112,-4.960397941551946
1107.0580311061349,332.7976701259613,3.727032736477902,473.0675681032898,-140.26989797732847,314.21349433272053,18.584175793240775
1107.6940311177166,323.6877727508545,3.742872864844851,472.78457477086613,-149.09680202001164,312.8507588719308,10.837013878923699
1108.3300311292985,329.7096438407898,3.7325703550944387,472.50158143844243,-142.79193759765263,311.4880234111406,18.221620429649192
1108.9660311408804,321.1667437553406,3.6797233477431788,472.2185881060187,-151.0518443506781,310.1252879503504,11.041455804990164
1109.6020311524624,328.68141651153564,3.676709659117428,471.93559477359497,-143.25417826205933,308.7625524895602,19.918864021975423
1110.2380311640445,325.35399293899536,3.649426570172893,471.65260144117116,-146.2986085021758,307.3998170287696,17.954175910225786
1110.8740311756262,339.91915345191956,3.7977317602390404,471.3696081087475,-131.45045465682796,306.03708156797984,33.882071883939716
1111.5100311872081,341.96810507774353,3.6996480386883985,471.0866147763238,-129.11850969858028,304.67434610718965,37.29375897055388
